"varresp_ini";"varresp_fim";"qt_sem_hist";"historico_ini";"historico_fim";"retorno_esp_modelo";"retorno_real"
"17/08/2015";"21/08/2015";15;"04/05/2015";"14/08/2015";-0,0888604821084835;-4,00230862098726
"17/08/2015";"21/08/2015";14;"11/05/2015";"14/08/2015";-0,361841329932039;-4,39770663271194
"17/08/2015";"21/08/2015";13;"18/05/2015";"14/08/2015";-0,862786740560828;-3,54395113841175
"17/08/2015";"21/08/2015";12;"25/05/2015";"14/08/2015";-1,00574506223384;-3,61548554652659
"17/08/2015";"21/08/2015";11;"01/06/2015";"14/08/2015";-1,08886371320186;-3,61296065795256
"17/08/2015";"21/08/2015";10;"08/06/2015";"14/08/2015";-1,21677270888929;-3,67539663462189
"17/08/2015";"21/08/2015";9;"15/06/2015";"14/08/2015";-1,22653172517177;-3,67774087568291
"17/08/2015";"21/08/2015";8;"22/06/2015";"14/08/2015";-1,2226338300329;-3,66883228912306
"17/08/2015";"21/08/2015";7;"29/06/2015";"14/08/2015";-1,15582312488147;-4,09799668061763
"17/08/2015";"21/08/2015";6;"06/07/2015";"14/08/2015";0,407772758219917;-4,74219889430918
"17/08/2015";"21/08/2015";5;"13/07/2015";"14/08/2015";-0,0170222365433981;-4,95216267311377
"17/08/2015";"21/08/2015";4;"20/07/2015";"14/08/2015";0,617317340394648;-6,72925860270196
"17/08/2015";"21/08/2015";3;"27/07/2015";"14/08/2015";1,98739423721617;-7,01262523751441
"17/08/2015";"21/08/2015";2;"03/08/2015";"14/08/2015";9,49879330811087;-9,3105815874953
"24/08/2015";"28/08/2015";15;"11/05/2015";"21/08/2015";-0,41529874833928;-0,677830497213231
"24/08/2015";"28/08/2015";14;"18/05/2015";"21/08/2015";-0,791290209188603;-1,27287136046245
"24/08/2015";"28/08/2015";13;"25/05/2015";"21/08/2015";-0,85874021164611;-1,25040208218676
"24/08/2015";"28/08/2015";12;"01/06/2015";"21/08/2015";-0,951877964193386;-1,58042429526854
"24/08/2015";"28/08/2015";11;"08/06/2015";"21/08/2015";-1,1056439499329;-1,59956783922363
"24/08/2015";"28/08/2015";10;"15/06/2015";"21/08/2015";-1,09105938695766;-1,72850870884687
"24/08/2015";"28/08/2015";9;"22/06/2015";"21/08/2015";-0,982633685957334;-1,73129232619902
"24/08/2015";"28/08/2015";8;"29/06/2015";"21/08/2015";-1,08988392714357;-1,76615459631317
"24/08/2015";"28/08/2015";7;"06/07/2015";"21/08/2015";0,499282124372497;-3,48528372659851
"24/08/2015";"28/08/2015";6;"13/07/2015";"21/08/2015";0,450054980327636;-3,46974083729264
"24/08/2015";"28/08/2015";5;"20/07/2015";"21/08/2015";0,150517661191153;-3,15047003543529
"24/08/2015";"28/08/2015";4;"27/07/2015";"21/08/2015";-0,0790578999466031;-1,02429444087351
"24/08/2015";"28/08/2015";3;"03/08/2015";"21/08/2015";-2,69577692623872;1,47423922625928
"24/08/2015";"28/08/2015";2;"10/08/2015";"21/08/2015";3,36325834315154;-3,17691695908424
"31/08/2015";"04/09/2015";15;"18/05/2015";"28/08/2015";-0,831330533540239;-5,97718190352296
"31/08/2015";"04/09/2015";14;"25/05/2015";"28/08/2015";-0,878409608292934;-5,83259258633486
"31/08/2015";"04/09/2015";13;"01/06/2015";"28/08/2015";-0,92643281584761;-5,97183919078693
"31/08/2015";"04/09/2015";12;"08/06/2015";"28/08/2015";-1,05898155232369;-5,9351368009563
"31/08/2015";"04/09/2015";11;"15/06/2015";"28/08/2015";-1,01840735119472;-5,98665267941635
"31/08/2015";"04/09/2015";10;"22/06/2015";"28/08/2015";-0,987983036476294;-5,86141426443903
"31/08/2015";"04/09/2015";9;"29/06/2015";"28/08/2015";-1,02739499170657;-4,16066847861182
"31/08/2015";"04/09/2015";8;"06/07/2015";"28/08/2015";-0,865809689793717;-2,18562151673029
"31/08/2015";"04/09/2015";7;"13/07/2015";"28/08/2015";-0,375436427888475;0,711934743046048
"31/08/2015";"04/09/2015";6;"20/07/2015";"28/08/2015";-1,13910922557753;-1,53544520892438
"31/08/2015";"04/09/2015";5;"27/07/2015";"28/08/2015";0,102017941058835;-0,871795807907138
"31/08/2015";"04/09/2015";4;"03/08/2015";"28/08/2015";-0,896330127518378;-0,346933401518475
"31/08/2015";"04/09/2015";3;"10/08/2015";"28/08/2015";0,648908193282913;-4,59957459283663
"31/08/2015";"04/09/2015";2;"17/08/2015";"28/08/2015";1,16158396975917;-4,56866943461197
"07/09/2015";"11/09/2015";15;"25/05/2015";"04/09/2015";-1,11569674507684;4,30699474384163
"07/09/2015";"11/09/2015";14;"01/06/2015";"04/09/2015";-1,32013683144469;6,38189815883731
"07/09/2015";"11/09/2015";13;"08/06/2015";"04/09/2015";-1,44465957748752;6,76128718033818
"07/09/2015";"11/09/2015";12;"15/06/2015";"04/09/2015";-1,39871118251954;6,63663037477097
"07/09/2015";"11/09/2015";11;"22/06/2015";"04/09/2015";-1,27875556542965;5,61715631588027
"07/09/2015";"11/09/2015";10;"29/06/2015";"04/09/2015";-0,467169510987307;2,47762434675759
"07/09/2015";"11/09/2015";9;"06/07/2015";"04/09/2015";-0,488531297114036;2,7882894077671
"07/09/2015";"11/09/2015";8;"13/07/2015";"04/09/2015";-0,194110575487133;1,43672887815417
"07/09/2015";"11/09/2015";7;"20/07/2015";"04/09/2015";-0,266142440368764;1,36583962787121
"07/09/2015";"11/09/2015";6;"27/07/2015";"04/09/2015";0,770924451792967;1,94640423757396
"07/09/2015";"11/09/2015";5;"03/08/2015";"04/09/2015";0,36222121427619;0,933549237990079
"07/09/2015";"11/09/2015";4;"10/08/2015";"04/09/2015";0,0978994180655306;-1,26889081176389
"07/09/2015";"11/09/2015";3;"17/08/2015";"04/09/2015";-0,0963322043689932;0,475565213444595
"07/09/2015";"11/09/2015";2;"24/08/2015";"04/09/2015";4,63115386762233;2,0880032487363
"14/09/2015";"18/09/2015";15;"01/06/2015";"11/09/2015";-0,721449408524742;-1,05933488959118
"14/09/2015";"18/09/2015";14;"08/06/2015";"11/09/2015";-0,802805458541571;-1,08357387606472
