ano;mes;qtde
2010;1;13388
2010;2;49842
2010;3;66232
2010;4;54883
2010;5;66908
2010;6;54153
2010;7;66495
2010;8;72459
2010;9;70017
2010;10;103993
2010;11;86842
2010;12;50590
2011;1;65659
2011;2;63216
2011;3;61219
2011;4;58254
2011;5;78774
2011;6;85180
2011;7;98084
2011;8;96481
2011;9;92514
2011;10;86381
2011;11;83014
2011;12;53559
2012;1;96905
2012;2;81660
2012;3;101865
2012;4;85095
2012;5;102411
2012;6;85375
2012;7;100459
2012;8;96774
2012;9;81341
2012;10;95067
2012;11;76811
2012;12;53956
2013;1;100333
2013;2;92925
2013;3;102300
2013;4;108191
2013;5;113079
2013;6;98970
2013;7;123062
2013;8;118278
2013;9;114616
2013;10;119768
2013;11;100888
2013;12;62889
2014;1;118856
2014;2;112993
2014;3;107336
2014;4;118507
2014;5;115465
2014;6;109360
2014;7;122971
2014;8;121711
2014;9;125629
2014;10;113728
2014;11;107413
2014;12;68312
2015;1;119191
2015;2;108282
2015;3;134584
2015;4;126700
2015;5;132410
2015;6;125784
2015;7;140143
2015;8;136761
2015;9;132636
2015;10;130541
2015;11;121484
2015;12;79455
2016;1;136693
2016;2;129103
2016;3;145184
2016;4;126839
2016;5;142481
2016;6;132375
2016;7;135839
2016;8;144507
2016;9;121969
2016;10;123556
2016;11;119440
2016;12;84490
2017;1;158759
2017;2;137522
2017;3;161877
2017;4;128478
2017;5;166115
2017;6;145085
2017;7;152418
2017;8;169118
2017;9;144668
2017;10;142936
2017;11;135977
2017;12;94696
2018;1;179868
2018;2;156247
2018;3;177576
2018;4;176572
2018;5;181759
2018;6;155672
2018;7;175544
2018;8;200575
2018;9;174232
2018;10;189620
2018;11;166324
2018;12;120697
2019;1;225576
2019;2;208569
2019;3;195813
2019;4;213443
2019;5;205093
2019;6;189498
2019;7;225022
2019;8;17653
